Gap ID,Control ID,Control Family,Current State,Gap Identified,Risk Level,Business Impact,Recommended Remediation,Priority,Target Timeline,Status
FED-GAP-001,AC-2,Access Control,User provisioning and termination processes exist but recurring account reviews are inconsistent,Inactive or unnecessary accounts may remain enabled,High,Unauthorized access may persist after role changes or termination,Perform quarterly account reviews and automate account disablement during offboarding,High,30 Days,Open
FED-GAP-002,AC-6,Access Control,Role-based access control is implemented but privileged-access reviews are inconsistent,Users may retain excessive privileged access,High,Compromised privileged accounts could provide broad control over critical systems,Perform quarterly privileged-access reviews and remove unnecessary permissions,High,30 Days,Open
FED-GAP-003,AU-6,Audit and Accountability,Security logs are collected but recurring review evidence is inconsistent,Recurring audit-log reviews are not consistently documented,Medium,Suspicious activity may remain undetected or investigation evidence may be incomplete,Define recurring log review procedures and retain investigation records,Medium,60 Days,Open
FED-GAP-004,CM-2,Configuration Management,Configuration standards exist but review evidence is incomplete,Approved baselines may not reflect current security requirements,Medium,Outdated configurations may introduce avoidable weaknesses,Review and approve secure configuration baselines annually,Medium,90 Days,Open
FED-GAP-005,CM-6,Configuration Management,Secure configuration standards are used but exceptions are not centrally tracked,Configuration exceptions may remain unresolved,Medium,Unapproved or insecure settings may persist without visibility,Create centralized configuration-exception tracking with owners and due dates,Medium,60 Days,Open
FED-GAP-006,CP-10,Contingency Planning,Backups exist but restoration testing is inconsistent,The organization lacks recurring evidence that backups can be restored,Medium,Recovery may fail during ransomware system failure or disaster,Perform quarterly restoration testing and document results,Medium,90 Days,Open
FED-GAP-007,IA-2(1),Identification and Authentication,MFA is enabled for some privileged accounts but not all,Privileged access is not consistently protected by MFA,High,Compromised credentials could provide elevated access to sensitive systems,Require MFA for all privileged accounts and document approved exceptions,High,30 Days,Open
FED-GAP-008,IA-2(2),Identification and Authentication,MFA is used for remote access but coverage is not consistently validated,MFA enrollment and coverage are not fully verified,Medium,Applicable remote users may access systems without strong authentication,Review MFA coverage and enforce enrollment for all applicable users,Medium,60 Days,Open
FED-GAP-009,IR-3,Incident Response,Tabletop exercises are not performed consistently,Incident response procedures are not regularly validated,High,Teams may respond slowly or inconsistently during a real incident,Conduct annual tabletop exercises and track corrective actions,High,60 Days,Open
FED-GAP-010,SI-2,System and Information Integrity,Some high-risk vulnerabilities exceed target remediation timelines,Vulnerability remediation SLAs are not consistently enforced,High,Known vulnerabilities may remain exploitable longer than acceptable,Enforce severity-based remediation SLAs and document risk acceptance for exceptions,High,30 Days,Open
FED-GAP-011,SR-3,Supply Chain Risk Management,Vendor assessments occur but recurring reassessment is inconsistent,High-risk suppliers are not consistently reassessed,High,Third-party weaknesses may introduce unmanaged security risk,Perform annual security reassessments of high-risk suppliers and track remediation,High,60 Days,Open
FED-GAP-012,RA-3,Risk Assessment,Risk assessments are performed periodically but review evidence is spread across multiple locations,Risk assessment evidence is not centrally organized,Medium,Audit readiness may be reduced because supporting documentation is difficult to retrieve,Centralize risk assessment evidence and management review records,Medium,90 Days,Open
