Risk ID,Risk Description,NIST 800-53 Control,Control Family,Likelihood,Impact,Risk Score,Risk Rating,Existing Control,Control Gap,Recommended Remediation
FED-R-001,Inactive or unnecessary user accounts remain enabled,AC-2,Access Control,3,5,15,High,Provisioning and termination processes exist,Recurring account reviews are inconsistent,Perform quarterly account reviews and automate termination access removal
FED-R-002,Users retain excessive privileged access,AC-6,Access Control,3,5,15,High,Role-based access control is implemented,Privileged-access reviews are incomplete,Perform quarterly privileged-access reviews and enforce least privilege
FED-R-003,Suspicious activity is not identified because audit reviews are incomplete,AU-6,Audit and Accountability,2,4,8,Medium,Centralized logging is enabled,Recurring log review evidence is inconsistent,Establish recurring security log reviews and retain investigation evidence
FED-R-004,Outdated secure configuration baselines introduce weaknesses,CM-2,Configuration Management,2,4,8,Medium,Configuration standards exist,Baselines are not formally reviewed on a consistent schedule,Review and approve secure configuration baselines annually
FED-R-005,Untracked configuration exceptions create security exposure,CM-6,Configuration Management,2,4,8,Medium,Secure configuration standards are used,Exceptions are not centrally tracked,Create centralized configuration exception tracking with owners and due dates
FED-R-006,Backup recovery fails during system disruption,CP-10,Contingency Planning,2,5,10,Medium,Regular backups are performed,Restoration testing is inconsistent,Perform quarterly restoration testing and document recovery results
FED-R-007,Privileged account compromise due to incomplete MFA coverage,IA-2(1),Identification and Authentication,3,5,15,High,MFA is enabled for some privileged accounts,MFA is not enforced for all privileged accounts,Require MFA for all privileged accounts and document approved exceptions
FED-R-008,Remote access occurs without strong authentication,IA-2(2),Identification and Authentication,2,4,8,Medium,MFA is used for remote access,MFA coverage is not consistently validated,Review MFA enrollment and enforce coverage for all applicable remote users
FED-R-009,Incident response procedures fail during a real cybersecurity incident,IR-3,Incident Response,3,5,15,High,Incident response plan exists,Tabletop exercises are not performed consistently,Conduct annual incident response tabletop exercises and track corrective actions
FED-R-010,Known high-risk vulnerability is exploited before remediation,SI-2,System and Information Integrity,3,5,15,High,Vulnerability scanning and tracking are in place,Some findings exceed remediation timelines,Enforce severity-based remediation SLAs and document risk acceptance for exceptions
FED-R-011,High-risk supplier introduces unmanaged cybersecurity risk,SR-3,Supply Chain Risk Management,3,4,12,High,Vendor security assessments occur,Recurring reassessments are inconsistent,Perform annual security reassessments of high-risk suppliers and track findings
FED-R-012,Risk assessment evidence cannot be produced efficiently during an audit,RA-3,Risk Assessment,2,4,8,Medium,Risk assessments are performed,Evidence is fragmented across multiple locations,Centralize risk assessment evidence and management review records
