POAM ID,Related Control,Weakness Description,Risk Level,Scheduled Completion Date,Responsible Owner,Planned Remediation,Milestones,Current Status,Validation Evidence,Closure Criteria
POAM-001,AC-2,Recurring account reviews are inconsistent and inactive accounts may remain enabled,High,2026-09-30,Identity and Access Management,Perform quarterly account reviews and automate termination access removal,"Create account inventory; define quarterly review schedule; automate offboarding; validate inactive accounts",Open,Account review report and disablement logs,No unnecessary inactive accounts remain and quarterly review evidence is complete
POAM-002,AC-6,Privileged access reviews are incomplete and some users may retain excessive permissions,High,2026-09-30,IT Security,Perform quarterly privileged-access reviews and enforce least privilege,"Inventory privileged accounts; document business justification; review permissions; remove unnecessary access",Open,Privileged access inventory and review approvals,All privileged accounts have current justification and unnecessary access is removed
POAM-003,AU-6,Recurring audit-log reviews are not consistently documented,Medium,2026-10-31,Security Operations,Establish recurring security log review procedures and retain evidence,"Define review frequency; assign reviewers; document investigations; retain escalation records",Open,Log review records and incident tickets,Recurring log reviews are documented and exceptions are investigated
POAM-004,CM-2,Configuration baselines are not formally reviewed on a consistent schedule,Medium,2026-11-30,Configuration Management,Review and approve secure configuration baselines annually,"Inventory baselines; compare to current standards; update configurations; obtain approval",Open,Approved baseline standards and review records,Current baselines are approved and review dates are documented
POAM-005,CM-6,Configuration exceptions are not centrally tracked,Medium,2026-10-31,Configuration Management,Create centralized configuration exception tracking,"Create exception register; assign owners; define due dates; track remediation",Open,Configuration exception register,All active exceptions have owners due dates and documented disposition
POAM-006,CP-10,Backup restoration testing is inconsistent,Medium,2026-11-30,IT Operations,Conduct quarterly restoration testing and document results,"Select critical systems; perform restore tests; record recovery times; remediate failed tests",Open,Restore test reports and recovery logs,Quarterly restore tests are completed and critical systems are successfully recovered
POAM-007,IA-2(1),MFA is not enforced for all privileged accounts,High,2026-09-30,Identity and Access Management,Require MFA for all privileged accounts,"Identify privileged accounts; enable MFA; document exceptions; verify enrollment",Open,MFA configuration and privileged account inventory,100 percent of applicable privileged accounts are protected by MFA or have approved exceptions
POAM-008,IA-2(2),MFA coverage for applicable remote users is not fully validated,Medium,2026-10-31,Identity and Access Management,Review and enforce MFA coverage for remote access,"Inventory remote users; compare MFA enrollment; remediate gaps; document exceptions",Open,MFA coverage report and authentication settings,All applicable remote users are enrolled in MFA or have approved exceptions
POAM-009,IR-3,Incident response procedures are not regularly tested,High,2026-10-31,Incident Response Team,Conduct annual incident response tabletop exercise,"Develop scenario; identify participants; conduct exercise; document lessons learned; assign corrective actions",Open,Tabletop exercise report and corrective-action tracker,Exercise is completed and identified corrective actions are assigned
POAM-010,SI-2,High-risk vulnerabilities exceed target remediation timelines,High,2026-09-30,Vulnerability Management,Enforce severity-based remediation SLAs,"Define SLA targets; review aging vulnerabilities; remediate overdue findings; document risk acceptance",Open,Vulnerability aging report and remediation tickets,High-risk vulnerabilities meet SLA or have formally approved risk acceptance
POAM-011,SR-3,High-risk suppliers are not consistently reassessed,High,2026-10-31,GRC and Procurement,Perform annual reassessments of high-risk suppliers,"Classify suppliers; schedule reassessments; issue questionnaires; review evidence; track findings",Open,Supplier assessment reports and remediation records,All high-risk suppliers have current assessments and open findings are tracked
POAM-012,RA-3,Risk assessment evidence is fragmented across multiple locations,Medium,2026-11-30,GRC,Centralize risk assessment evidence and management review records,"Create evidence repository; migrate current records; define naming standards; assign owners",Open,Risk assessment repository and evidence index,Risk assessment evidence is centrally stored and retrievable
