Control ID,Control Family,Control Name,Control Objective,Current Implementation,Implementation Status,Evidence Expected,Evidence Status,Risk Level,Gap Identified,Recommended Remediation
AC-2,Access Control,Account Management,Ensure user accounts are authorized managed reviewed and removed when no longer required,User provisioning and termination processes exist but recurring account reviews are inconsistent,Partial,Account inventory provisioning records termination records and access review evidence,Partial,High,Inactive or unnecessary accounts may remain enabled,Perform quarterly account reviews and automate termination access removal
AC-6,Access Control,Least Privilege,Limit users to the minimum privileges required for job responsibilities,Role-based access control is implemented but privileged-access reviews are inconsistent,Partial,Privileged account inventory business justification and review approvals,Partial,High,Users may retain elevated permissions longer than necessary,Perform quarterly privileged-access reviews and remove unnecessary permissions
AT-2,Awareness and Training,Security Awareness Training,Ensure personnel receive recurring security awareness training,Annual security awareness training is provided,Implemented,Training completion reports and awareness materials,Accepted,Low,None identified,Continue annual training and phishing simulations
AU-2,Audit and Accountability,Event Logging,Ensure security-relevant events are logged across critical systems,Centralized logging is enabled for critical systems,Implemented,SIEM screenshots log source inventory and logging configuration,Accepted,Low,None identified,Continue validating critical log source coverage
AU-6,Audit and Accountability,Audit Record Review Analysis and Reporting,Ensure audit records are reviewed for suspicious or inappropriate activity,Logs are collected but recurring review evidence is inconsistent,Partial,Log review records incident tickets and escalation evidence,Partial,Medium,Recurring security log reviews are not consistently documented,Define and document recurring log review procedures
CM-2,Configuration Management,Baseline Configuration,Maintain approved secure baseline configurations for systems,Configuration standards exist but review evidence is incomplete,Partial,Configuration baselines hardening standards and approval records,Partial,Medium,Baselines may not reflect current security requirements,Review and approve configuration baselines annually
CM-6,Configuration Management,Configuration Settings,Ensure security configuration settings are defined implemented and monitored,Secure configuration standards are used but some exceptions are not centrally tracked,Partial,Configuration standards exception records and system settings evidence,Partial,Medium,Security configuration exceptions may remain unresolved,Create centralized configuration exception tracking
CP-9,Contingency Planning,System Backup,Ensure critical systems and data are backed up regularly,Regular backups are performed and monitored,Implemented,Backup logs backup policy and monitoring records,Accepted,Low,None identified,Continue monitoring backup success and failures
CP-10,Contingency Planning,System Recovery and Reconstitution,Ensure systems can be restored after disruption,Restore testing is performed inconsistently,Partial,Restoration test reports recovery logs and corrective-action records,Partial,Medium,The organization lacks consistent evidence that backups can be restored,Perform quarterly restoration testing and document results
IA-2,Identification and Authentication,Identification and Authentication of Organizational Users,Verify users before granting access to systems,Unique user accounts and authentication controls are implemented,Implemented,Identity records authentication policy and account inventory,Accepted,Low,None identified,Continue enforcing unique identities and authentication requirements
IA-2(1),Identification and Authentication,Multi-Factor Authentication for Privileged Accounts,Require stronger authentication for privileged users,MFA is enabled for some privileged accounts but not all,Partial,MFA configuration privileged account inventory and exception records,Exception,High,Privileged access is not consistently protected by MFA,Require MFA for all privileged accounts and document approved exceptions
IA-2(2),Identification and Authentication,Multi-Factor Authentication for Non-Privileged Accounts,Require MFA for applicable non-privileged remote or sensitive access,MFA is used for remote access but coverage is not consistently validated,Partial,MFA coverage report remote-access inventory and authentication settings,Partial,Medium,MFA coverage validation is incomplete,Review MFA enrollment and enforce MFA for applicable remote access
IR-4,Incident Response,Incident Handling,Ensure incidents are identified contained eradicated and recovered from,Incident response procedures are documented,Implemented,Incident response plan incident tickets and response procedures,Accepted,Low,None identified,Continue annual review of incident response procedures
IR-3,Incident Response,Incident Response Testing,Test incident response capability on a recurring basis,Tabletop exercises are not performed consistently,Partial,Tabletop exercise report participant list and lessons learned,Missing,High,Incident response procedures are not regularly validated,Conduct annual tabletop exercises and track corrective actions
RA-3,Risk Assessment,Risk Assessment,Assess threats vulnerabilities likelihood impact and risk to systems,Risk assessments are performed periodically,Implemented,Risk assessment report risk register and review records,Accepted,Low,None identified,Continue recurring risk assessments and management review
RA-5,Risk Assessment,Vulnerability Monitoring and Scanning,Identify vulnerabilities through recurring scanning,Vulnerability scanning is performed regularly,Implemented,Vulnerability scan reports scan schedules and asset coverage,Accepted,Low,None identified,Continue recurring scanning and coverage validation
SI-2,System and Information Integrity,Flaw Remediation,Identify and remediate software and system flaws,Vulnerability findings are tracked but some high-risk items exceed target timelines,Partial,Remediation tickets patch records vulnerability aging reports and exception approvals,Exception,High,High-risk vulnerabilities may remain open beyond acceptable timelines,Enforce severity-based remediation SLAs and document risk acceptance for exceptions
SC-8,System and Communications Protection,Transmission Confidentiality and Integrity,Protect information transmitted across networks,Approved encryption is used for sensitive traffic,Implemented,TLS configuration encryption standards and network security evidence,Accepted,Low,None identified,Continue maintaining approved encryption standards
SR-3,Supply Chain Risk Management,Supply Chain Controls and Processes,Manage cybersecurity risk from external suppliers and service providers,Vendor assessments occur but recurring reassessment is inconsistent,Partial,Vendor questionnaires risk assessments contracts and reassessment evidence,Partial,High,High-risk suppliers may not be reassessed consistently,Perform annual security reassessments for high-risk suppliers and track remediation
